id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,instrumentalness,speechiness,liveness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,84,2020,0.05,0.06,0.12
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,65,2020,0.72,0.08,0.10
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,74,2010,0.08,0.09,0.28
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,58,2020,0.80,0.05,0.08
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,88,2020,0.03,0.07,0.35
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,52,2010,0.95,0.03,0.06
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,61,2000,0.60,0.04,0.22
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,70,1980,0.55,0.06,0.14
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,67,2020,0.78,0.07,0.09
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,76,2010,0.12,0.05,0.18
11,Electric Bloom,Pulse Arcade,edm,euphoric,0.94,128,0.88,0.91,0.06,90,2020,0.10,0.06,0.30
12,Dust and Gold,Canyon Lines,country,nostalgic,0.58,96,0.63,0.59,0.76,69,2010,0.18,0.04,0.25
13,Velvet Letters,Sienna Blue,r&b,romantic,0.62,102,0.72,0.78,0.32,73,2020,0.08,0.10,0.16
14,Concrete Crown,North Cipher,hip hop,confident,0.86,94,0.68,0.84,0.08,82,2020,0.05,0.38,0.20
15,Winter Sonata,Aurelia Keys,classical,peaceful,0.24,68,0.52,0.20,0.95,55,1990,0.96,0.02,0.12
16,Carnival Sky,Sol Mercado,latin,festive,0.89,126,0.91,0.93,0.18,86,2020,0.06,0.08,0.45
17,Empty Station,Blue Hour,blues,melancholic,0.45,82,0.28,0.48,0.81,57,1990,0.30,0.05,0.32
18,River Memory,Cedar Thread,folk,reflective,0.39,88,0.57,0.50,0.87,60,2000,0.48,0.04,0.20
